,0
346,GPC1
347,LGALS8
348,IGF1R
349,RARRES2
350,PMVK
351,CEACAM8
352,GZMA
353,LAMA4
354,SCGB1A1
355,SNAP29
356,CA3
357,NECTIN4
358,C19orf12
359,PDP1
360,PLIN1
361,ITGA5
362,PON3
363,CASP2
364,PGLYRP1
365,KRT19
366,THBS2
367,PCOLCE
